REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
1913,Pixel 8 promo - $120 discount with select plan,PIXEL_8_PROMO_120_DISCOUNT_WITH_SELECT_P,Y,[09/08/2024 Mmizanur]: REQ2986519 Pixel8 Promo,,
1914,Pixel 8 promo - $120 discount with select plan - HWU,PIXEL_8_PROMO_120_DISCOUNT_WITH_SELECT_H,Y,[09/08/2024 Mmizanur]: REQ2986519 Pixel Promos,,
