Promo Code,,,,,,,,,,,,,,,,,,,,Type,ActionType,Start Date,End Date,Months Until Benefit,BenefitDuration,Reusable/Stackable?,Short Name,UniqueCode?,MembershipId?,BenefitType,Rep EndDate,Promo Category,Invoice Message Code,Invoice Description,,,,Measurement,Max Redemption,Description
$100 Port-in Promo for PA Smartphone Plans,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-04-2015 00:00,15-06-2015 00:00,1,10,No,PORT-IN_PROMO_SMARTPHONE_PLANS,No,No,Service,08-12-2015 00:00,Marketing,Rate Plan Discount Promo,$100 Port-in Promo for PA Smartphone Plans Promo June 2015,,,,AMOUNT,10,[06/16/2015 TRahman]: $100 Port-in Promo for PA Smartphone Plans Promo June 2015
Freedom Special 50,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),20-02-2013 00:00,06-11-2017 00:00,0,10,No,WIND SPECIAL 50,Yes,No,Service,12-02-2020 00:00,Marketing,Rate Plan Discount Promo,$5 per month off your service for 10 months,,,,AMOUNT,5,$5 per month off your service for 10 months
Upgrade $50 Credit,,,,,,,,,,,,,,,,,,,,Auto,N/A,04-09-2015 00:00,31-12-2025 00:00,0,1,No,UPGRADE $50 CREDIT,No,No,Service,25-06-2015 00:00,Marketing,Rate Plan Discount Promo,Early upgrade eligible - $50 one time service credit,,,,AMOUNT,50,Early upgrade eligible - $50 one time service credit
PBRetention_25,,,,,,,,,,,,,,,,,,,,Auto,N/A,06-09-2015 00:00,02-07-2016 00:00,0,6,No,PBRETENTION_25,No,No,Service,28-02-2016 00:00,Marketing,Usage and Add-on Promo,PBRetention_25 2014,,,,AMOUNT,5,[06/17/2014 TRahman] PBRetention_25 2014
