Promo Code,,,,,,,,,,,,,,,,,,,,Type,ActionType,Start Date,End Date,Months Until Benefit,BenefitDuration,Reusable/Stackable?,Short Name,UniqueCode?,MembershipId?,BenefitType,Rep EndDate,Promo Category,Invoice Message Code,Invoice Description,,,,Measurement,Max Redemption,Description
Supervisor_Above_10_10,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),31-05-2013 00:00:00,31-12-2025 00:00:00,0,10,No,CARE_100_PB,No,No,Service,15-06-2025 00:00:00,Supervisor,Usage and Add-on Promo,Discount: $10/mo. for 10 months,,,,AMOUNT,10,$100 ($10 x 10 months)
Loyalty_Above_10_10_PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),31-05-2013 00:00:00,05-05-2017 00:00:00,0,10,No,LOYALTY_100_PA,No,No,Service,05-05-2017 00:00:00,Loyalty,Usage and Add-on Promo,$100 ($10 x 10 months),,,,PERCENTAGE,10,$100 ($10 x 10 months)
Loyalty_Above_10_10,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),31-05-2013 00:00:00,31-12-2025 00:00:00,0,10,No,LOYALTY_100_PB,No,No,Service,15-06-2025 00:00:00,Loyalty,Usage and Add-on Promo,Discount: $10/mo. for 10 months,,,,AMOUNT,10,$100 ($10 x 10 months)
BYOP 150 Postpaid,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),03-12-2015 00:00:00,18-09-2025 00:00:00,0,15,No,BYOP 150 POSTPAID,No,No,Service,16-11-2015 00:00:00,Marketing,Bring Your Own Device Promo,$10 per month off add-ons or pay-per-use for 15 months,,,,PERCENTAGE,10,$10 per month off add-ons or pay-per-use for 15 months
BYOP 150 Prepaid,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),03-12-2015 00:00:00,18-09-2025 00:00:00,0,15,No,BYOP 150 PREPAID,No,No,Service,16-11-2015 00:00:00,Marketing,Bring Your Own Device Promo,$10 per month off add-ons or pay-per-use for 15 months,,,,AMOUNT,10,$10 per month off add-ons or pay-per-use for 15 months
Boxing Week 2014,,,,,,,,,,,,,,,,,,,,Auto,N/A,26-12-2014 00:00:00,26-12-2014 00:00:00,0,10,No,BOXING WEEK 2014,No,No,Service,25-01-2015 00:00:00,Marketing,Rate Plan Discount Promo,$5 per month off your service for 10 months,,,,AMOUNT,5,$5 per month off your service for 10 months
2014 Boxing Day 100,,,,,,,,,,,,,,,,,,,,Auto,N/A,26-12-2014 00:00:00,26-12-2014 00:00:00,0,10,No,2014 BOXING DAY 100,No,No,Service,25-01-2015 00:00:00,Marketing,Rate Plan Discount Promo,,,,,AMOUNT,10,
Upgrade $50 Credit,,,,,,,,,,,,,,,,,,,,Auto,N/A,04-09-2015 00:00:00,31-12-2025 00:00:00,0,1,No,UPGRADE $50 CREDIT,No,No,Service,25-06-2015 00:00:00,Marketing,Rate Plan Discount Promo,Early upgrade eligible - $50 one time service credit,,,,AMOUNT,50,Early upgrade eligible - $50 one time service credit
PBRetention_25,,,,,,,,,,,,,,,,,,,,Auto,N/A,06-09-2015 00:00:00,02-07-2016 00:00:00,0,6,No,PBRETENTION_25,No,No,Service,28-02-2016 00:00:00,Marketing,Usage and Add-on Promo,PBRetention_25 2014,,,,AMOUNT,5,[06/17/2014 TRahman] PBRetention_25 2014
BYD Freedom30 PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD WIND30 PA,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$5 per month off add-ons or pay-per-use for 20 months,,,,PERCENTAGE,5,$5 per month off add-ons or pay-per-use for 20 months
