Campaign Code,Charge Type,,,,,,,,,,,,,,,,,,,Discount %,Max CAP,Event Type,Event Subtype,Invoice Section,,,,,,,,,,,,,,,,
BYD 250 PA,USAGE,,,,,,,,,,,,,,,,,,,100,12.50,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
BYD 500 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,25.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYD 500 PA,USAGE,,,,,,,,,,,,,,,,,,,100,25.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
$100 Add-ons + Extras Bonus 2014 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
$100 Add-ons + Extras Bonus 2014 PA,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Samsung Honda Indy 2014 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Samsung Honda Indy 2014 PA,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Freedom 10 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Freedom 10 PA,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Freedom 15 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,15.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Freedom 15 PA,USAGE,,,,,,,,,,,,,,,,,,,100,15.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Black Friday 2014,MRC,,,,,,,,,,,,,,,,,,,100,60.00,Promo,Promo MRC,20100,,,,,,,,,,,,,,,,
BYOP 150 Postpaid,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYOP 150 Postpaid,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Premium data add-on Promo PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
THX 10$ Abv MRC 6 Months,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
WSC 10$ Abv MRC 5 Mn PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
WSC 10$ Abv MRC 5 Mn PA,USAGE,,,,,,,,,,,,,,,,,,,100,10.00,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Back to School BYOP Bonus PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,12.50,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Back to School BYOP Bonus PA,USAGE,,,,,,,,,,,,,,,,,,,100,12.50,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Loyalty_Above_3_10_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Loyalty_Above_3_10_PA,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Loyalty_Above_6_10_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Loyalty_Above_6_10_PA,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
PAP Campaign November 2015 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
PAP Campaign November 2015 PA,USAGE,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
BYD 5 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYD 5 PA,USAGE,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Loyalty_Extra_MyTab_50,TAB,,,,,,,,,,,,,,,,,,,100,50,Promo,Unknown,0,,,,,,,,,,,,,,,,
Loyalty_Extra_MyTab_100,TAB,,,,,,,,,,,,,,,,,,,100,100,Promo,Unknown,0,,,,,,,,,,,,,,,,
Loyalty_Extra_MyTab_150,TAB,,,,,,,,,,,,,,,,,,,100,150,Promo,Unknown,0,,,,,,,,,,,,,,,,
NTU $50 Extra MyTab,TAB,,,,,,,,,,,,,,,,,,,100,50,Promo,Unknown,0,,,,,,,,,,,,,,,,
PAP Campaign December 2015 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
PAP Campaign December 2015 PA,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
EHU $50 Early HW Upgrade,TAB,,,,,,,,,,,,,,,,,,,100,50,Promo,Unknown,0,,,,,,,,,,,,,,,,
Nexus 6P Upgrade Offer,TAB,,,,,,,,,,,,,,,,,,,100,100,Promo,Unknown,0,,,,,,,,,,,,,,,,
Care_Above_2_5_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Care_Above_2_5_PA,USAGE,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
