REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
1091,ZTE HUP with LTE $100 Cr.,ZTE_Upgrade_&_LTE_$100_Credit,Y,[02/24/2017 TRahman] RITM0037599: ZTE HUP with LTE $100 Cr. 2017,,
1092,Freedom 10 PB,Freedom_10_PB,Y,[20/04/2017 TRahman]: Freedom 10 PB,,
1093,BYOD PAP 5 PSI4$,BYOD_PAP_5$_PSI4,Y,[02/13/2017 TRahman] RITM0037352: BYOD PAP 5 PSI4$ 2017,,
1094,LTE Bundle $280 Bonus Tab,LTE_Bundle_$280_Bonus_Tab,Y,[04/24/2017 TRahman] RITM0038878: LTE Bundle $280 Bonus Tab Promotion 2017,,
1095,Friends and Family 35%,FREEDOM_FNF_35,Y,[04/24/2017 TRahman] RITM0038893: Freedom FNF Offer 35% 2017,,
1096,$100 Service Credit $40 and Above Plans,$100_Service_Credit_$40_and_Above_Plans,Y,[06/09/2017 TRahman] RITM0040011: $100 Service Credit $40 and Above Plans Promo 2017,,
1097,$100 BYON To Freedom,$100_BYON_To_Freedom,Y,[06/15/2017 TRahman] RITM0040070: $100 BYON To Freedom Promo 2017,,
1099,Up to 1000 ILD mins $10 above $40 and Above Plans,1000_ILD_mins_$10_above_$40_Above_Plans,Y,[06/21/2017 TRahman] RITM0040390: Up to 1000 ILD mins $10 above $40 and Above Plans,,
1100,Friends of Freedom 25%,FREEDOM_FNF_25,Y,[07/11/2017 TRahman] RITM0040985: Freedom FNF Offer 25% 2017,,
1101,Ottawa Everywhere $60 Cr,Ottawa_Everywhere_$60_Cr,Y,[07/24/2017 TRahman] RITM0041146: Ottawa Everywhere $60 Cr Promo 2017,,
1102,ISIC $120 Service Credit,ISIC_$120_Service_Credit,Y,[07/25/2017 TRahman] RITM0041270: ISIC $120 Service Credit Promo 2017,,
1103,10GB Data Upgrade,10_GB_Data_Upgrade,Y,[08/18/2017 TRahman] RITM0041756: 10GB Data Upgrade Promo 2017,,
1104,300 India Minutes for 6 Months,300_India_Minutes_for_6_Months,Y,[10/03/2017 TRahman] RITM0042886: 300 India Minutes for 6 Months,,
1105,Bring Your Own Phone $100,Bring_Your_Own_Phone_$100,Y,[31/11/2017 TRahman] RITM0043516: Bring Your Own Phone $100 Promo 2017,,
1106,Bring Your Own Phone $200,Bring_Your_Own_Phone_$200,Y,[31/11/2017 TRahman] RITM0043516: Bring Your Own Phone $200 Promo 2017,,
1107,3 Months of 3GB Home data,3_Months_3GB_Home_data,Y,[16/11/2017 TRahman] RITM0043516: 3 Months of 3GB Home data Promo 2017,,
1108,Freedom Special 25,Freedom_Special_25,Y,[17/11/2017 TRahman] REQ0043348 : Freedom Special 25 Promo 2017,,
1109,$5 Below MRC credit,$5_Below_MRC_CREDIT,Y,[21/11/2017 TRahman] RITM0044057 : $5 Below MRC for life Promo 2017,,
1110,CNY $5 ILD for 6 Months,CNY_$5_ILD_for_6_Months,Y,[02/05/2018 TRahman] RITM0045817: CNY $5 ILD for 6 Months,,
1111,SHA-$50 Service Credits,SHAW_$50_Promo,Y,[02/05/2018 TRahman] RITM0045874: SHA-$50 Service Credits,,
1112,SHB-15% Off for 24 Months,SHAW_15%_Promo,Y,[02/05/2018 TRahman] RITM0045882: SHB-15% Off for 24 Months,,
1113,Bring Your Own Phone $60,Bring_Your_Own_Phone_$60,Y,[23/02/2018 TRahman] RITM0046252: Bring Your Own Phone $60 Promo 2018,,
1114,Bring Your Own Phone $120,Bring_Your_Own_Phone_$120,Y,[23/02/2018 TRahman] RITM0046252: Bring Your Own Phone $120 Promo 2018,,
1115,SHD-$200 BYOP Credits,SHD_$200_BYOP_Credits,Y,[04/04/2018 TRahman] RITM0047058: SHD-$200 BYOP Credits Promo 2018,,
1116,15Percent Off x 24 Months,15Percent_Off_24_Months,Y,[05/23/2018 TRahman] RITM0048407: 15Percent Off x 24 Months,,
1117,25Percent Off x 24 Months,25Percent_Off_24_Months,Y,[05/23/2018 TRahman] RITM0048407: 25Percent Off x 24 Months,,
1118,$120 Add a Line with Phone Srv Crdt - $10 off for 12 months,$120_Add_a_Line_Promo,Y,[02/05/2018 TRahman] RITM0049001: $120 Add a Line with Phone Srv Crdt - $10 off for 12 months,,
1119,Digital Discount,Digital_Discount_2018,Y,[25/06/2018 TRahman] RITM0048848: Digital Discount $5 below MRC credit for Autopay 2018,,
1120,Bring Your Own Phone $15,Bring_Your_Own_Phone_$15,Y,[04/04/2018 TRahman] RITM0048848: Bring Your Own Phone $15 Promo 2018,,
1121,FNF - 35% Off $60+ Plans,FREEDOM_FNF_35_60+PLANS,Y,[07/18/2018 TRahman] RITM0038893: Freedom FNF - 35% Off $60+ Plans 2018,,
1123,Early Upgrade Tab Payoff 2018,Early_Upgrade_Tab_Payoff_2018,Y,[09/06/2018 TRahman] RITM0050976 Early Upgrade Tab Payoff 2018 : Old Mytab will be cleared.,,
1124,CBM $5 for 10 months,CBM_$5_for_10_months,Y,[09/06/2018 TRahman] RITM0050976: Get a $5/month service credit for 10 months.,,
1125,CBM $10 for 10 months,CBM_$10_for_10_months,Y,[09/06/2018 TRahman] RITM0050976: Get a $10/month service credit for 10 months.,,
1126,3GB Big Binge Bonus Data - Pay Before,3GB_BIG_BINGE_BONUS_DATA_PAY_BEFORE,Y,[19/10/2018 TRahman] RITM0053326: Get 3GB of fast LTE Home data to use above your monthly plan data amount,,
1127,5GB Big Binge Bonus Data - Pay Before,5GB_BIG_BINGE_BONUS_DATA_PAY_BEFORE,Y,[19/10/2018 TRahman] RITM0053326: Get 5GB of fast LTE Home data to use above your monthly plan data amount,,
1128,10GB Big Binge Bonus Data - Pay After BYOP,10GB_BIG_BINGE_BONUS_DATA_PAY_AFTER_BYO,Y,[19/10/2018 TRahman] RITM0053326: Get 10GB of fast LTE Home data to use above your monthly plan data amount,,
1129,20GB Big Binge Bonus Data - Pay After BYOP,20GB_BIG_BINGE_BONUS_DATA_PAY_AFTER_BYO,Y,[19/10/2018 TRahman] RITM0053326: Get 20GB of fast LTE Home data to use above your monthly plan data amount,,
1130,30GB Big Binge Bonus Data - Pay After BYOP,30GB_BIG_BINGE_BONUS_DATA_PAY_AFTER_BYO,Y,[19/10/2018 TRahman] RITM0053326: Get 30GB of fast LTE Home data to use above your monthly plan data amount,,
1131,40GB Big Binge Bonus Data - Pay After BYOP,40GB_BIG_BINGE_BONUS_DATA_PAY_AFTER_BYO,Y,[19/10/2018 TRahman] RITM0053326: Get 40GB of fast LTE Home data to use above your monthly plan data amount,,
1132,50GB Big Binge Bonus Data - Pay After BYOP,50GB_BIG_BINGE_BONUS_DATA_PAY_AFTER_BYO,Y,[19/10/2018 TRahman] RITM0053326: Get 50GB of fast LTE Home data to use above your monthly plan data amount,,
1133,15GB Big Binge Bonus Data - with MyTab,15GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 15GB of fast LTE Home data to use above your monthly plan data amount,,
1134,20GB Big Binge Bonus Data - with MyTab,20GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 20GB of fast LTE Home data to use above your monthly plan data amount,,
1135,30GB Big Binge Bonus Data - with MyTab,30GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 30GB of fast LTE Home data to use above your monthly plan data amount,,
1136,40GB Big Binge Bonus Data - with MyTab,40GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 40GB of fast LTE Home data to use above your monthly plan data amount,,
1137,100GB Big Binge Bonus Data - with MyTab,100GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 100GB of fast LTE Home data to use above your monthly plan data amount,,
1138,150GB Big Binge Bonus Data - with MyTab,150GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 150GB of fast LTE Home data to use above your monthly plan data amount,,
1139,200GB Big Binge Bonus Data - with MyTab,200GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 200GB of fast LTE Home data to use above your monthly plan data amount,,
1140,Bring Your Own Phone $15 Pay After,Bring_Your_Own_Phone_$15_Pay_After,Y,[10/10/2018 SZaman] RITM0052527: Bring Your Own Phone $15 Pay After Promo 2018,,
1141,Bring Your Own Phone $60 Pay After,Bring_Your_Own_Phone_$60_Pay_After,Y,[10/10/2018 TRahman] RITM0052527: Bring Your Own Phone $15 Pay After Promo 2018,,
1142,Bring Your Own Phone $120 Pay After,Bring_Your_Own_Phone_$120_Pay_After,Y,[10/10/2018 TRahman] RITM0052527: Bring Your Own Phone $15 Pay After Promo 2018,,
1143,Bring Your Own Phone $15 Pay Before,Bring_Your_Own_Phone_$15_Pay_Before,Y,[10/10/2018 TRahman] RITM0052527: Bring Your Own Phone $15 Pay After Promo 2018,,
1144,Bring Your Own Phone $60 Pay Before,Bring_Your_Own_Phone_$60_Pay_Before,Y,[10/10/2018 TRahman] RITM0052527: Bring Your Own Phone $15 Pay After Promo 2018,,
1145,Bring Your Own Phone $120 Pay Before,Bring_Your_Own_Phone_$120_Pay_Before,Y,[10/10/2018 TRahman] RITM0052527: Bring Your Own Phone $15 Pay After Promo 2018,,
1146,15GB Big Binge Bonus Data - Pay After BYOP,15GB_BIG_BINGE_BONUS_DATA_PAY_AFTER_BYO,Y,[19/10/2018 TRahman] RITM0053326: Get 15GB of fast LTE Home data to use above your monthly plan data amount,,
1147,15GB Big Binge Bonus HWU,15GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 15GB of fast LTE Home data to use above your monthly plan data amount,,
1148,30GB Big Binge Bonus HWU,30GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 15GB of fast LTE Home data to use above your monthly plan data amount,,
1149,100GB Big Binge Bonus HWU,100GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 15GB of fast LTE Home data to use above your monthly plan data amount,,
1150,20GB Big Binge Bonus HWU,20GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 20GB of fast LTE Home data to use above your monthly plan data amount,,
1151,40GB Big Binge Bonus HWU,40GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 40GB of fast LTE Home data to use above your monthly plan data amount,,
1152,50GB Big Binge Bonus HWU,50GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 50GB of fast LTE Home data to use above your monthly plan data amount,,
1153,150GB Big Binge Bonus HWU,150GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 150GB of fast LTE Home data to use above your monthly plan data amount,,
1154,200GB Big Binge Bonus HWU,200GB_Big_Binge_Bonus_HWU,Y,[1/11/2018 TRahman] RITM005326: Get 2000GB of fast LTE Home data to use above your monthly plan data amount,,
1156,50GB Big Binge Bonus Data - with MyTab,50GB_BIG_BINGE_BONUS_DATA_WITH_MYTAB,Y,[19/10/2018 TRahman] RITM0053326: Get 50GB of fast LTE Home data to use above your monthly plan data amount,,
1171,Loyalty 50% X 6 Mo -Tab,LOYALTY_50_X_6_MO_TAB,Y,[10/12/2018 VChan2] RITM0054845: Get 50% off your monthly rate plan for 6 months,,
1172,Loyalty 50% X 2 Mo -BYOP,LOYALTY_50_X_2_MO_BYOP,Y,[10/12/2018 VChan2] RITM0054845: Get 50% off your monthly rate plan for 2 months,,
1173,Loyalty 100% X 6 Mo -Tab,LOYALTY_100_X_6_MO_TAB,Y,[10/12/2018 VChan2] RITM0054845: Get 100% off your monthly rate plan for 6 months,,
1174,Loyalty 100% X 2 Mo -BYOP,LOYALTY_100_X_2_MO_BYOP,Y,[10/12/2018 VChan2] RITM0054845: Get 100% off your monthly rate plan for 2 months,,
1175,$120 in Service Credits ($10 x 12 mo) -Pay After $50+ plans,120_IN_SERVICE_CREDITS_10_X_12_MONTHS_PA,Y,[12/12/2018 VChan2] RITM0055002: Get $10/mo off your monthly rate plan for 12 months (credits start on 2nd bill),,
1176,$120 in Service Credits ($10 x 12 mo) -Pay Before $50+ plans,120_IN_SERVICE_CREDITS_10_X_12_MONTHS_PB,Y,[12/12/2018 VChan2] RITM0055002: Get $10/mo off your monthly rate plan for 12 months (credits start in 2nd month),,
1178,$600 Credit Port-in Offer ($25 x 24 mo.),$600_Credit_Port_in_Offer,Y,[12/17/2018 TRahman] RITM0055013: Competitive Response offer for Bell and TELUS Customers,,
1179,Loyalty Credit $10 for 12 months,LOYALTY_CREDIT_10_FOR_12_MONTHSLOYALTY_C,Y,[01/02/2019 VChan2] RITM0055299: $120 ($10 x 12 months),,
1180,Visual Voicemail free for the 1st month,VISUAL_VOICEMAIL_FREE_FOR_THE_1ST_MONTH,Y,[01/22/2019 VChan2] RITM0055998: Visual Voicemail Promo,,
1181,15% Off $60+ Plans x 6 Months,15_OFF_60_PLANS_X_6_MONTHS,Y,"[24/01/2019 VChan2] RITM0056007: New Markets Launch Promo Offer (Victoria & Red Deer) February 8, 2019",,
1182,25% Off $60+ Plans x 6 Months,25_OFF_60_PLANS_X_6_MONTHS,Y,"[24/01/2019 VChan2] RITM0056007: New Markets Launch Promo Offer (Victoria & Red Deer) February 8, 2019",,
1183,50% Off $60+ Plans x 6 Months,50_OFF_60_PLANS_X_6_MONTHS,Y,"[24/01/2019 VChan2] RITM0056007: New Markets Launch Promo Offer (Victoria & Red Deer) February 8, 2019",,
1185,Bring Your Own Phone $60 Pay After ($40+ plans),BRING_YOUR_OWN_PHONE_60_PA_40_PLANS,Y,[01/02/2019 VChan2] RITM0056299: BYOP $60 Promo for $40+ Plans,,
1186,Bring Your Own Phone $60 Pay Before ($40+ plans),BRING_YOUR_OWN_PHONE_60_PB_40_PLANS,Y,[01/02/2019 VChan2] RITM0056299: BYOP $60 Promo for $40+ Plans,,
1187,NM Bring Your Own Phone Customer,NM_BRING_YOUR_OWN_PHONE_CUSTOMER,Y,[04/02/2019 VChan2] RITM0056421: New Markets CIS Display Promo (Victoria & Red Deer),,
1188,15T 15% off $60+ x 12mo,15T_15_OFF_60_X_12MO,Y,[22/02/2019 VChan2] RITM0057011: Freedom mobile is offering 15% off for 12 months and 25% off for 12 months,,
1189,25T 25% off $60+ x 12mo,25T_25_OFF_60_X_12MO,Y,[22/02/2019 VChan2] RITM0057011: Freedom mobile is offering 15% off for 12 months and 25% off for 12 months,,
1190,$5 One Time Activation Credit,$5_One_Time_Activation_Credit,Y,[03/17/2019 TRahman] RITM0057824: Get a $5 one time service credit automatic addition prepaid.,,
1191,10B $10 off Promo 60 8GB,10B_10_OFF_PROMO_60_8GB,Y,[15/04/2019 VChan2] RITM0059047: Border Plan Promo,,
1192,Freedom Prepaid 2nd Month for $0,FREEDOM_PREPAID_2ND_MONTH_FOR_0,Y,[18/04/2019 VChan2] RITM0059238: MRS_2019 Freedom Prepaid Next Month for $0,,
1193,Bring Your Own Phone $60 Postpaid,BRING_YOUR_OWN_PHONE_60_POSTPAID,Y,[15/04/2019 VChan2] RITM0059046: MRS_2019 BYOP $60 $120 $180,,
1194,Bring Your Own Phone $60 Prepaid,BRING_YOUR_OWN_PHONE_60_PREPAID,Y,[15/04/2019 VChan2] RITM0059046: MRS_2019 BYOP $60 $120 $180,,
1195,Bring Your Own Phone $120 Postpaid,BRING_YOUR_OWN_PHONE_120_POSTPAID,Y,[15/04/2019 VChan2] RITM0059046: MRS_2019 BYOP $60 $120 $180,,
1196,Bring Your Own Phone $120 Prepaid,BRING_YOUR_OWN_PHONE_120_PREPAID,Y,[15/04/2019 VChan2] RITM0059046: MRS_2019 BYOP $60 $120 $180,,
1197,Bring Your Own Phone $180 Postpaid,BRING_YOUR_OWN_PHONE_180_POSTPAID,Y,[15/04/2019 VChan2] RITM0059046: MRS_2019 BYOP $60 $120 $180,,
1198,Bring Your Own Phone $180 Prepaid,BRING_YOUR_OWN_PHONE_180_PREPAID,Y,[15/04/2019 VChan2] RITM0059046: MRS_2019 BYOP $60 $120 $180,,
1199,Switch To Freedom Promo,SWITCH_TO_FREEDOM_PROMO,Y,[30/04/2019 NKapur] RITM0059483: MRS_2019 Shaw Customer Offer,,
1200,CBM 25% off $40+ x 12mo,CBM_25_OFF_40_X_12MO,Y,[01/05/2019 NKapur] RITM0059787: MRS_2019 CBM 12 months 25% off,,
1201,Visual Voicemail free for 1st month,VISUAL_VOICEMAIL_FREE_FOR_1ST_MONTH,Y,[05/07/2019 VChan2] RITM0055998: Visual Voicemail Promo,,
1202,Early Upgrade 100% MyTab Balance Waive,EARLY_UPGRADE_100_MYTAB_BALANCE_WAIVE,Y,[05/10/2019 VChan2]: RITM0060267: CBM Pre-Attach Promo Upgrade Offers,,
1203,$60 MyTab Bonus Savings,60_MYTAB_BONUS_SAVINGS,Y,[05/10/2019 VChan2]: RITM0060267: CBM Pre-Attach Promo Upgrade Offers,,
1204,$120 MyTab Bonus Savings,120_MYTAB_BONUS_SAVINGS,Y,[05/10/2019 VChan2]: RITM0060267: CBM Pre-Attach Promo Upgrade Offers,,
1206,Event 25% off $60+ x 24mo,EVENT_25_OFF_60_X_24MO,Y,[21/06/2019 NKapur]: RITM0061452: Event 25% off $60+ x 24mo Promo Build,,
1207,Trial 25% off $60+ x 24mo,TRIAL_25_OFF_60_X_24MO,Y,[28/06/2019 NKapur]: RITM0061718: Trial 25% off $60+ x 24mo,,
1208,Prepaid 1.5GB 2nd month for $0,PREPAID_15GB_2ND_MONTH_FOR_0,Y,[12/08/2019 NKapur] RITM0063380: MRS_2019 Prepaid 1.5GB 2nd month for $0,,
1209,$15 off x 6mo $60+,15_OFF_X_6MO_60,Y,[09/07/2019 NKapur] RITM0062293: MRS_2019 Back to School Promos,,
1210,15A $15 off x 12mo $60+,15A_15_OFF_X_12MO_60,Y,[09/07/2019 NKapur] RITM0062293: MRS_2019 Back to School Promos,,
1211,15B $15 off x 24mo $60+,15B_15_OFF_X_24MO_60,Y,[09/07/2019 NKapur] RITM0062293: MRS_2019 Back to School Promos,,
1212,FFM $15 off $60+,FFM_15_OFF_60,Y,[09/07/2019 NKapur] RITM0062293: MRS_2019 Back to School Promos,,
1213,10A $10 off x 12mo $60+,10A_10_OFF_X_12MO_60,Y,[09/07/2019 NKapur] RITM0062293: MRS_2019 Back to School Promos,,
1214,BPO $60 MyTab Savings,BPO_60_MYTAB_SAVINGS,Y,[30/07/2019 NKapur]: RITM0062904: BPO $60 and $120 Promo Build,,
1215,BPO $120 MyTab Savings,BPO_120_MYTAB_SAVINGS,Y,[30/07/2019 NKapur]: RITM0062904: BPO $60 and $120 Promo Build,,
1216,CBM FNF $15 Off $60+ Plans+,CBM_FNF_15_OFF_60_PLANS,Y,[15/07/2019 NKapur] RITM0062293: MRS_2019 Back to School Promos,,
1217,Bring Your Own Phone $240 Postpaid,BRING_YOUR_OWN_PHONE_240_POSTPAID,Y,[02/12/2019 NKapur]: RITM0063116: MRS_2019 BYOP $240,,
1218,Bring Your Own Phone $240 Prepaid,BRING_YOUR_OWN_PHONE_240_PREPAID,Y,[02/12/2019 NKapur]: RITM0063116: MRS_2019 BYOP $240,,
1222,EPP $15 off $60+,EPP_15_OFF_60,Y,[23/08/2019 NKapur] RITM0063691: MRS_2019 EPP $15 off $60+,,
1223,$480 Credit Port-in Offer ($20 x 24 mo.),480_CREDIT_PORTIN_OFFER_20_X_24_MO,Y,[27/08/2019 NKapur]: RITM0063839: MRS_2019 $480 Credit Port-in Offer ($20 x 24 mo.),,
1224,1000 ILD Minutes Promo,1000_ILD_MINUTES_PROMO,Y,[29/08/2019 NKapur] RITM0064061: MRS_2019 1000 ILD Minutes Promo,,
1225,50B 50GB Big Binge Bonus,50B_50GB_BIG_BINGE_BONUS,Y,[04/09/2019 NKapur] MRS_2019 50B 50GB Big Binge Bonus,,
1226,$10 x 12 months service credit ($120 savings),10_X_12_MONTHS_SERVICE_CREDIT_120_SAVING,Y,[12/09/2019 NKapur] RITM0064620: MRS_2019 $120 Promos,,
1227,CBM $10 for 15 months,CBM_10_FOR_15_MONTHS,Y,[23/09/2019 NKapur]: RITM0065002: MRS_2019 CBM $10 for 15 months,,
1228,$120 Service Credit Offer - with MyTab,120_SERVICE_CREDIT_OFFER_WITH_MYTAB,Y,[22/09/2019 NKapur] RITM0064912: MRS_2019 $120 Promos,,
1229,$120 Service Credit - HWU,120_SERVICE_CREDIT_HWU,Y,[22/09/2019 NKapur] RITM0064912: MRS_2019 $120 Promos,,
1230,Info Only: Eligible for MyTab Rollover ($50+ plan required),INFO_ONLY_ELIGIBLE_FOR_MYTAB_ROLLOVER_50,Y,[02/10/2019 NKapur]: RITM0065008: MRS_2019 ReTab Promo,,
1231,Bring Your Own Phone $360 Postpaid,BRING_YOUR_OWN_PHONE_360_POSTPAID,Y,[26/09/2019 NKapur]: RITM0065182: MRS_2019 BYOP $360,,
1232,10G $10 off x 24mo $25+,10G_10_OFF_X_24MO_25,Y,[30/09/2019 NKapur] RITM0064928: MRS_2019 $10G Moto G7,,
1233,Friends and Family $15,FRIENDS_AND_FAMILY_15,Y,[03/10/2019 NKapur]: RITM0064944: MRS_2019 Friends and Family $15,,
1234,25GB Big Binge Bonus Data,25GB_BIG_BINGE_BONUS_DATA,Y,[04/10/2019 NKapur] RITM0065294: MRS_2019 25GB Big Binge Bonus Data,,
1235,10GB Big Binge Bonus Data,10GB_BIG_BINGE_BONUS_DATA,Y,[04/10/2019 NKapur] RITM0065376: MRS_2019 10GB Big Binge Bonus Data,,
1236,$100 Service Credit ($50+),100_SERVICE_CREDIT_50,Y,[09/10/2019 NKapur] RITM0065046: MRS_2019 Promos,,
1237,$150 Service Credit ($60+),150_SERVICE_CREDIT_60,Y,[09/10/2019 NKapur] RITM0065046: MRS_2019 Promos,,
1238,$180 Service Credit ($60+),180_SERVICE_CREDIT_60,Y,[09/10/2019 NKapur] RITM0065046: MRS_2019 Promos,,
1239,$50 Service Credit ($50+),50_SERVICE_CREDIT_50,Y,[09/10/2019 NKapur] RITM0065046: MRS_2019 Promos,,
1240,500 ILD Minutes to India per Month for 6 Months,500_ILD_MINUTES_TO_INDIA_PER_MONTH_FOR_6,Y,[15/10/2019 NKapur] RITM0065713: MRS_2019 500 ILD Minutes India Promo,,
1241,Promotional Bonus 1GB Freedom Nationwide Data,PROMOTIONAL_BONUS_1GB_FREEDOM_NATIONWIDE,Y,[15/10/2019 NKapur] RITM0065675: MRS_2019 1GB Freedom Nationwide Data,,
1242,1 GB Freedom Nationwide bonus data for 12 months,1_GB_FREEDOM_NATIONWIDE_BONUS_DATA_FOR_1,Y,[21/10/2019 NKapur] RITM0065683: MRS_2019 1GB Freedom Nationwide Data,,
1243,1 GB Nationwide additional data for 12 months,1_GB_NATIONWIDE_ADDITIONAL_DATA_FOR_12_M,Y,[21/10/2019 NKapur] RITM0065683: MRS_2019 1GB Freedom Nationwide Data,,
1244,1 GB Nationwide bonus data for 12 months,1_GB_NATIONWIDE_BONUS_DATA_FOR_12_MONTHS,Y,[21/10/2019 NKapur] RITM0065683: MRS_2019 1GB Freedom Nationwide Data,,
1245,Trade Promo $10/mo x 24 mo,TRADE_PROMO_10MO_X_24_MO,Y,[23/10/2019 NKapur]: RITM0066064: MRS_2019 Trade Promo $10x24,,
1246,Samsung Phone + Tablet with MyTab $360 Service Credit Offer,SAMSUNG_PHONE__TABLET_WITH_MYTAB_360_SER,Y,[30/10/2019 NKapur] RITM0066475: MRS_2019 Samsung Tablet Offer,,
1247,Samsung Phone+Tablet - HWU,SAMSUNG_PHONETABLET_HWU,Y,[30/10/2019 NKapur] RITM0066475: MRS_2019 Samsung Tablet Offer,,
1248,Discount: $20 Connection Fee Waiver Postpaid,DISCOUNT_20_CONNECTION_FEE_POST,Y,[04/11/2019 NKapur]: MRS 2019 Connection Fee Promos,,
1249,Discount: $10 Connection Fee Waiver Prepaid,DISCOUNT_10_CONNECTION_FEE_PRE,Y,[04/11/2019 NKapur]: MRS 2019 Connection Fee Promos,,
1250,Discount: $20 Connection Fee Digital Waiver,DISCOUNT_20_CONNECTION_FEE_DIGITAL_WAIVE,Y,[04/11/2019 NKapur]: MRS 2019 Connection Fee Promos,,
1251,Samsung Phone + Tablet with MyTab $180 Service Credit Offer,SAMSUNG_PHONE_TABLET_WITH_MYTAB_180_SER,Y,[06/11/2019 NKapur] RITM0066747: MRS_2019 Samsung Tablet Offer,,
1252,Samsung Ph+Tablet - HWU12M,SAMSUNG_PH_TABLET_HWU12M,Y,[06/11/2019 NKapur] RITM0066747: MRS_2019 Samsung Tablet Offer,,
1253,Discount: $20 Connection Fee Waiver Prepaid,DISCOUNT_20_CONNECTION_FEE_PRE,Y,[04/11/2019 NKapur]: MRS 2019 Connection Fee Promos,,
1254,Bring Your own Phone $480 Postpaid,BRING_YOUR_OWN_PHONE_480_POSTPAID,Y,[13/11/2019 NKapur]: RITM0066748: MRS_2019 BYOP $480,,
1255,Bonus 250MB Freedom Network Data Promo,BONUS_250MB_FREEDOM_NETWORK_DATA_PROMO,Y,[15/11/2019 NKapur] RITM0066872: MRS_2019 Double Data Offer,,
1256,Bonus 500MB Freedom Network Data Promo,BONUS_500MB_FREEDOM_NETWORK_DATA_PROMO,Y,[15/11/2019 NKapur] RITM0066872: MRS_2019 Double Data Offer,,
1257,$240 Service Credit Offer - with MyTab ($10 x 24mo),240_SERVICE_CREDIT_OFFER_WITH_MYTAB_10,Y,[20/11/2020 Acarretti] RITM: MRS_2020 Service Credit Offers,,
1258,$240 Service Credit - HWU ($10 x 24mo),240_SERVICE_CREDIT_HWU_10_X_24MO,Y,[20/11/2020 Acarretti] RITM: MRS_2020 Service Credit Offers,,
1259,$360 Service Credit Offer - with MyTab ($15 x 24mo),360_SERVICE_CREDIT_OFFER_WITH_MYTAB_15,Y,[20/11/2019 NKapur] RITM1273763: MRS_2019 BF Service Credit Offers,,
1260,$360 Service Credit - HWU ($15 x 24mo),360_SERVICE_CREDIT_HWU_15_X_24MO,Y,[20/11/2019 NKapur] RITM1273763: MRS_2019 BF Service Credit Offers,,
1261,$120 Service Credit Offer - with MyTab ($5 x 24mo),120_SERVICE_CREDIT_OFFER_MYTAB_5_X_24MO,Y,[13/08/2020 ACarretti]: RITM- MRS_2020,,
1262,$120 Service Credit - HWU ($5 x 24mo),120_SERVICE_CREDIT__HWU_5_X_24MO,Y,[13/08/2020 ACarretti]: RITM- MRS_2020,,
1263,$10 off for data addon for 24 months,10_OFF_FOR_DATA_ADDON_FOR_24_MONTHS,Y,[21/11/2019 NKapur] RITM0066265: MRS_2019 Addon Discount Promo,,
1264,$50 Service Credit ($5x10 mos.) w/ HWU & $50+ MRC Upgrade,50_SERVICE_CREDIT_5X10_MOS_W_HWU_50_MRC,Y,[26/11/2019 NKapur] RITM1272846: MRS_2019 Service Credit HWU Promos,,
1265,$100 Service Credit ($10x10 mos.) w/ HWU & $60+ MRC Upgrade,100_SERVICE_CREDIT_10X10_MOS_W_HWU_60_M,Y,[26/11/2019 NKapur] RITM1272846: MRS_2019 Service Credit HWU Promos,,
1266,$150 Service Credit ($10x15 mos.) w/ HWU & $75+ MRC Upgrade,150_SERVICE_CREDIT_10X15_MOS_W_HWU_75_M,Y,[26/11/2019 NKapur] RITM1272846: MRS_2019 Service Credit HWU Promos,,
1267,FNF $15 Off Select Plans,FNF_15_OFF_SELECT_PLANS,Y,[28/11/2019 NKapur]: RITM1283025: MRS_2019 FNF $15,,
