REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
172,Student Offer 2013-Perk,SO1,Y,[05/14/2013 TRahman] Student Offer 2013-Perk Promo 2013,,
176,CARE_30_PA,CARE30PA,Y,[05/31/2013 TRahman] CARE_30_PA Promo 2013 : ($10 per month off add-ons or pay-per-use for 3 months),,
177,CARE_30_PB,CARE30PB,Y,[05/31/2013 TRahman] CARE_30_PB Promo 2013 : ($10 per month off add-ons or pay-per-use for 3 months),,
178,Supervisor_Above_6_10_PA,CARE60PA,Y,[05/31/2013 TRahman] Supervisor_Above_6_10_PA Promo 2013,,
179,Supervisor_Above_6_10,CARE60PB,Y,[05/31/2013 TRahman] Supervisor_Above_6_10_PB Promo 2013,,
180,Supervisor_Above_10_10_PA,CARE100PA,Y,[05/31/2013 TRahman] Supervisor_Above_10_10_PA Promo 2013,,
181,Supervisor_Above_10_10,CARE100PB,Y,[05/31/2013 TRahman] Supervisor_Above_10_10_PB Promo 2013,,
182,Supervisor_Below_6_10,LO60,Y,[05/31/2013 TRahman] Supervisor_Below_6_10 Promo 2013,,
183,Loyalty_Above_10_10_PA,LO100PA,Y,[05/31/2013 TRahman] Loyalty_Above_10_10_PA Promo 2013,,
184,Loyalty_Above_10_10,LO100PB,Y,[05/31/2013 TRahman] Loyalty_Above_10_10_PB Promo 2013,,
188,Honda Indy 2013 Promo,HI60,Y,[06/26/2013 TRahman] Honda Indy 2013 Promo 2013,,
189,BYO iPhone PA,BYO_iPhone_PA,Y,[09/16/2013 TRahman] BYO iPhone PA Promo 2013,,
190,BYO iPhone PB,BYO_iPhone_PB,Y,[09/16/2013 TRahman] BYO iPhone PB Promo 2013,,
191,Free VoiceMail for 6 months PA,VM_FREE_6M_PA,Y,[09/27/2013 TRahman] Free VoiceMail for 6 months PA Promo 2013,,
192,Free VoiceMail for 6 months PB,VM_FREE_6M_PB,Y,[09/27/2013 TRahman] Free VoiceMail for 6 months PB Promo 2013,,
193,BYD Freedom30 PA,BYOD_FREEDOM30_PA,Y,[10/02/2013 TRahman] BYD Freedom30 PA Promo 2013 : ($5 per month off add-ons or pay-per-use for 20 months),,
194,BYD Freedom30 PB,BYOD_FREEDOM30_PB,Y,[10/02/2013 TRahman] BYD Freedom30 PB Promo 2013 : ($5 per month off add-ons or pay-per-use for 20 months),,
195,BYD Freedom40 PA,BYOD_FREEDOM40_PA,Y,[10/02/2013 TRahman] BYD Freedom40 PA Promo 2013 : ($12.50 per month off add-ons or pay-per-use for 20 months),,
196,BYD Freedom40 PB,BYOD_FREEDOM40_PB,Y,[10/02/2013 TRahman] BYD Freedom40 PB Promo 2013 : ($12.50 per month off add-ons or pay-per-use for 20 months),,
197,BYD 400 PA,BYOD_WIND50_PA,Y,[10/02/2013 TRahman] BYD WIND50 PA Promo 2013 : ($20 per month off add-ons or pay-per-use for 20 months),,
198,BYD 400 PB,BYOD_WIND50_PB,Y,[10/02/2013 TRahman] BYD WIND50 PB Promo 2013 : ($20 per month off add-ons or pay-per-use for 20 months),,
199,CARE_10_PA,CARE10PA,Y,[11/07/2013 TRahman] CARE_10_PA Promo 2013 : ($10 per month off add-ons or pay-per-use for 1 month),,
200,CARE_10_PB,CARE10PB,Y,[11/07/2013 TRahman] CARE_10_PB Promo 2013 : ($10 per month off add-ons or pay-per-use for 1 month),,
201,Black Friday 100,Black_Friday_100,Y,[11/20/2013 TRahman] Black Friday 100 2013,,
202,Boxing Day 50,Boxing_Day_50,Y,[12/06/2023 TRahman] Boxing Day 50 2013,,
203,Boxing Day Door Crasher 100,BD_Door_Crasher_100,Y,[12/12/2013 TRahman] Boxing Day Door Crasher 100 2013,,
204,BYD 150 PA 2014,BYOD_150_PA_2014,Y,[03/14/2014 TRahman] BYD 150 PA Promo 2014 : ($7.50 per month off add-ons or pay-per-use for 20 months),,
205,BYD 150 PB 2014,BYOD_150_PB_2014,Y,[03/14/2014 TRahman] BYD 150 PB Promo 2014 : ($7.50 per month off add-ons or pay-per-use for 20 months),,
